count: 196
UniCode  | Dec   | S | Name
\U+2581  |  9601 | ▁ | uni2581
\U+2582  |  9602 | ▂ | uni2582
\U+2583  |  9603 | ▃ | uni2583
\U+2584  |  9604 | ▄ | dnblock
\U+2585  |  9605 | ▅ | uni2585
\U+2586  |  9606 | ▆ | uni2586
\U+2587  |  9607 | ▇ | uni2587
\U+2588  |  9608 | █ | block
\U+2589  |  9609 | ▉ | uni2589
\U+258A  |  9610 | ▊ | uni258A
\U+258B  |  9611 | ▋ | uni258B
\U+258C  |  9612 | ▌ | lfblock
\U+258D  |  9613 | ▍ | uni258D
\U+258E  |  9614 | ▎ | uni258E
\U+258F  |  9615 | ▏ | uni258F
\U+2590  |  9616 | ▐ | rtblock
\U+2591  |  9617 | ░ | ltshade
\U+2592  |  9618 | ▒ | shade
\U+2593  |  9619 | ▓ | dkshade
\U+2594  |  9620 | ▔ | uni2594
\U+2595  |  9621 | ▕ | uni2595
\U+25E2  |  9698 | ◢ | uni25E2
\U+25E3  |  9699 | ◣ | uni25E3
\U+25E4  |  9700 | ◤ | uni25E4
\U+25E5  |  9701 | ◥ | uni25E5
\U+25FC  |  9724 | ◼ | uni25FC
